"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Chevrolet | Ford | Honda | Porsche | Subaru | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37A8547"
"ColumnCount:",17
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Porsche, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"03/1993",7946,1496,1410,260,12,48,400,4578,832,640,198,12,48,254,234,56
"04/1993",8102,1500,1458,334,2,48,416,4578,856,674,176,2,48,282,430,148
"05/1993",9308,1826,1674,398,8,46,508,5188,966,720,218,8,46,312,606,170
"06/1993",9070,1708,1614,404,14,42,522,4946,876,708,232,14,42,348,560,156
"07/1993",10202,1938,1820,492,4,68,498,5494,1020,834,274,4,68,286,736,202
"08/1993",10268,1958,1734,486,12,60,564,5412,1086,736,252,12,60,356,726,218
"09/1993",9548,1820,1706,420,14,56,474,5122,954,756,238,14,56,306,616,174
"10/1993",10300,1900,1918,392,8,64,568,5994,1088,926,266,8,64,358,418,110
"11/1993",9292,1722,1794,332,6,78,456,5308,868,808,272,6,78,280,212,54
"12/1993",9026,1764,1764,260,12,64,520,5338,1002,850,218,12,64,346,130,38
"01/1994",7634,1524,1476,254,14,68,420,4264,760,694,194,14,68,256,132,52
"02/1994",7102,1344,1340,264,6,36,422,3926,652,594,212,6,36,272,156,50
"03/1994",8116,1608,1456,324,14,42,418,4602,870,688,232,14,42,254,288,84
"04/1994",8720,1714,1558,378,6,56,456,4838,916,730,240,6,56,288,416,130
"05/1994",9298,1698,1740,406,8,40,474,5078,850,816,234,8,40,308,578,150
"06/1994",9214,1654,1668,480,10,96,484,4906,846,750,284,10,96,306,548,182
"07/1994",10052,1912,1866,460,4,66,524,5336,950,760,256,4,66,360,700,190
"08/1994",10228,1818,1882,474,4,66,574,5484,892,836,272,4,66,382,588,190
"09/1994",9624,1820,1784,468,2,58,496,5208,958,760,290,2,58,320,504,160
"10/1994",10372,2012,1960,412,12,42,546,5692,1034,844,292,12,42,340,440,114
"11/1994",9506,1748,1868,338,12,82,528,5364,894,898,288,12,82,328,186,46
"12/1994",9956,1928,1852,362,6,66,540,5850,1054,862,308,6,66,346,144,50
"01/1995",8298,1644,1602,244,4,42,424,4634,866,730,198,4,42,258,110,36
"02/1995",7494,1464,1444,280,8,36,452,4358,826,668,238,8,36,286,142,38
"03/1995",8682,1646,1672,346,4,68,470,4846,820,770,262,4,68,284,250,78
"04/1995",8582,1660,1636,388,6,46,460,4840,882,716,258,6,46,306,366,122
"05/1995",9058,1664,1746,424,14,76,474,4932,852,778,246,14,76,306,528,162
"06/1995",9842,1852,1700,436,8,64,554,5206,914,746,246,8,64,336,586,172
"07/1995",10122,1850,1860,492,10,36,572,5360,878,808,266,10,36,356,618,210
"08/1995",10852,1950,2002,562,10,68,618,5728,936,846,360,10,68,374,648,186
"09/1995",10194,1928,1862,442,14,56,514,5498,972,792,284,14,56,312,504,150
"10/1995",10590,2162,2014,452,14,68,526,5672,1048,878,296,14,68,328,440,140
"11/1995",9630,1728,1882,376,4,56,534,5360,820,818,318,4,56,322,190,46
"12/1995",9704,1850,1854,368,2,50,542,5450,938,754,322,2,50,334,150,40
"01/1996",8414,1560,1682,300,8,58,432,4452,710,738,252,8,58,254,152,44
"02/1996",8074,1504,1512,274,4,42,398,4400,756,604,222,4,42,250,162,44
"03/1996",8764,1650,1642,322,2,68,498,4814,804,734,244,2,68,306,212,68
"04/1996",8952,1638,1716,376,6,40,464,4986,858,756,272,6,40,312,370,100
"05/1996",9318,1746,1718,436,4,64,482,4938,834,744,280,4,64,302,490,142
"06/1996",10228,1826,1826,470,4,82,578,5194,868,764,268,4,82,338,674,172
"07/1996",9590,1790,1814,446,16,60,510,4998,858,798,260,16,60,288,514,170
"08/1996",10570,1974,2008,484,6,72,496,5374,940,848,292,6,72,318,628,168
"09/1996",9874,1864,1812,474,2,48,570,5284,940,796,290,2,48,360,494,160
"10/1996",10606,1970,1950,486,8,50,558,5732,1030,848,350,8,50,390,386,124
"11/1996",10102,1970,1870,404,6,60,536,5590,946,768,348,6,60,320,144,46
"12/1996",10202,1904,1946,390,,62,578,5732,898,890,350,,60,366,118,34
"01/1997",8752,1622,1672,276,2,58,498,4830,848,714,250,2,58,276,104,26
"02/1997",7720,1404,1546,324,6,54,454,4186,714,650,262,6,54,294,164,50
"03/1997",8576,1558,1622,392,2,58,476,4632,752,688,316,2,58,310,268,64
"04/1997",8734,1584,1690,354,2,38,468,4652,804,698,272,2,38,294,326,74
"05/1997",10174,1794,2018,480,6,56,564,5328,870,868,298,6,56,342,484,148
"06/1997",9908,1732,1858,514,2,70,538,5036,830,776,324,2,70,344,604,168
"07/1997",10252,1878,2010,542,14,82,496,5244,874,828,322,14,82,316,582,194
"08/1997",10578,1956,2038,532,8,70,538,5394,966,798,334,8,70,320,574,170
"09/1997",9432,1790,1708,442,2,48,474,4762,792,728,298,2,48,284,464,118
"10/1997",10318,1928,1938,436,10,84,532,5388,962,846,306,10,84,330,430,112
"11/1997",9600,1798,1914,368,4,68,524,5132,836,796,314,4,68,316,182,40
"12/1997",10076,1828,2008,338,2,80,524,5544,930,904,296,2,80,296,126,28
"01/1998",8510,1534,1616,288,4,38,454,4514,754,652,260,4,38,280,124,18
"02/1998",7700,1372,1530,316,6,50,458,4194,664,638,248,6,48,290,146,54
"03/1998",8508,1504,1666,324,6,32,406,4478,716,680,244,6,32,254,216,68
"04/1998",8524,1532,1646,398,4,68,450,4446,688,706,286,4,68,292,354,96
"05/1998",9540,1696,1810,450,,50,522,4798,792,768,286,,48,300,558,152
"06/1998",9544,1640,1892,446,4,52,454,4680,778,712,280,4,52,250,508,142
"07/1998",10430,1782,2016,540,4,80,518,5144,824,796,318,4,78,312,714,202
"08/1998",10946,1950,2110,512,6,62,606,5358,910,818,344,6,62,328,668,142
"09/1998",9826,1766,1876,540,6,58,448,4848,828,738,342,6,58,264,538,164
"10/1998",10144,1794,1944,458,10,44,472,5192,818,838,330,10,44,282,430,110
"11/1998",9662,1720,1812,434,2,62,566,5046,720,754,366,2,56,344,242,58
"12/1998",10510,2012,2138,362,10,46,498,5402,946,836,306,10,44,314,162,40
"01/1999",7834,1450,1516,336,2,48,412,4024,644,610,284,2,48,256,114,34
"02/1999",7424,1282,1474,308,,54,426,3828,596,594,254,,52,256,180,34
"03/1999",8686,1678,1630,358,4,32,516,4464,808,666,276,4,32,336,278,72
"04/1999",8588,1464,1644,394,6,60,456,4252,700,628,244,6,60,288,428,118
"05/1999",9988,1732,1892,492,2,56,482,4928,776,736,318,2,54,288,562,146
"06/1999",9636,1698,1832,446,2,54,442,4652,780,722,266,2,54,268,626,152
"07/1999",10288,1710,2010,498,6,50,480,4766,748,768,290,6,46,284,706,180
"08/1999",10722,1828,2136,556,10,50,496,4992,830,754,338,10,50,300,700,176
"09/1999",10050,1696,1934,482,4,30,536,4728,704,716,298,4,30,342,582,144
"10/1999",10564,1912,2150,502,10,38,544,5126,816,860,356,10,38,328,468,120
"11/1999",9876,1810,1918,452,8,36,522,5052,848,758,364,8,36,302,270,70
"12/1999",9984,1782,2076,452,8,56,520,5236,858,866,386,8,52,298,136,34
"01/2000",4402,791,866,170,3,30,231,2129,342,312,135,3,26,137,80,21
"02/2000",3904,688,808,185,1,19,202,1930,294,319,147,1,18,108,90,28
"03/2000",4369,748,832,196,2,18,212,2119,345,316,145,2,18,136,199,38
"04/2000",4639,802,935,261,,32,233,2332,357,354,185,,29,156,248,62
"05/2000",4863,795,894,258,3,25,239,2295,321,321,173,3,24,152,329,73
"06/2000",5027,804,911,285,1,13,250,2319,359,328,164,1,12,149,400,103
"07/2000",5344,911,1008,288,4,20,277,2522,409,386,168,4,19,168,401,105
"08/2000",5289,853,1016,285,2,24,272,2427,370,371,171,2,23,153,428,95
"09/2000",5137,850,956,241,3,31,273,2424,369,378,157,3,30,161,347,71
"10/2000",5178,854,977,266,5,32,258,2540,376,368,199,5,29,169,251,52
"11/2000",4625,799,865,214,2,25,272,2362,364,313,179,2,22,175,119,17
"12/2000",4817,804,966,219,6,36,274,2378,341,373,186,6,36,168,82,20
"01/2001",4117,707,795,186,5,24,198,2067,306,306,148,5,24,135,73,25
"02/2001",3956,676,745,186,2,24,230,1975,292,279,153,2,23,149,97,27
"03/2001",4311,762,813,187,2,31,216,2131,322,316,149,2,30,148,156,30
"04/2001",4526,776,832,225,5,26,250,2194,353,323,152,5,25,166,308,58
"05/2001",5028,801,924,284,3,25,276,2306,316,352,187,3,24,158,357,82
"06/2001",4873,850,896,294,2,35,256,2246,345,309,164,2,33,158,402,92
"07/2001",5229,878,997,327,2,23,264,2398,379,367,197,2,20,167,441,109
"08/2001",5373,888,996,297,1,29,282,2471,366,361,169,1,27,191,425,102
"09/2001",4930,782,940,274,1,22,250,2275,337,353,161,1,21,158,388,90
"10/2001",5304,857,974,287,2,28,258,2524,335,353,209,2,23,164,271,57
"11/2001",5104,905,972,261,2,35,273,2440,341,388,188,2,32,166,200,47
"12/2001",5167,930,1007,273,,34,304,2561,373,388,209,,31,187,142,40
"01/2002",4567,789,880,231,7,26,242,2256,338,328,185,7,24,151,102,23
"02/2002",4034,719,766,194,4,19,242,1974,296,279,153,4,17,153,127,24
"03/2002",4727,790,919,255,2,32,251,2284,332,336,195,2,29,158,184,40
"04/2002",4455,743,844,240,2,9,222,2142,317,357,170,2,8,140,259,56
"05/2002",5008,795,923,296,5,16,268,2317,314,354,181,5,16,164,374,97
"06/2002",5155,799,949,312,4,27,264,2291,304,324,177,4,24,153,451,112
"07/2002",5262,871,986,321,1,22,275,2369,343,354,187,1,17,158,431,103
"08/2002",5314,863,954,353,9,19,288,2310,316,324,201,9,17,167,482,117
"09/2002",5109,845,949,291,3,30,265,2330,352,301,174,3,27,176,431,94
"10/2002",5154,865,955,237,1,20,270,2406,335,360,159,1,17,162,249,54
"11/2002",4796,822,887,243,2,18,310,2313,343,302,177,2,16,183,178,45
"12/2002",4845,826,918,217,1,31,293,2383,348,326,174,1,29,183,93,19
"01/2003",4167,698,815,188,5,20,249,1947,263,271,151,5,18,149,85,15
"02/2003",3809,626,748,201,,21,220,1778,253,268,155,,18,139,98,30
"03/2003",4370,732,823,230,3,13,250,2042,303,288,161,3,12,161,216,50
"04/2003",4812,809,920,316,3,22,228,2194,324,327,205,3,19,146,376,86
"05/2003",4924,801,903,269,1,32,259,2250,330,335,160,1,30,162,373,76
"06/2003",5126,823,905,300,,30,274,2253,333,319,179,,29,172,460,97
"07/2003",5373,842,943,321,1,24,290,2276,326,330,183,1,20,163,509,103
"08/2003",5574,909,1009,364,5,27,280,2390,327,344,225,5,23,154,536,106
"09/2003",5070,755,925,302,6,22,291,2222,281,314,181,6,19,189,472,94
"10/2003",5482,891,1062,309,2,30,280,2460,334,372,203,2,24,182,351,68
"11/2003",5279,830,983,305,3,30,297,2522,324,327,228,3,27,188,198,48
"12/2003",4891,809,957,219,1,21,311,2236,281,306,169,1,20,183,128,25
"01/2004",4505,722,841,229,,22,260,2075,275,312,178,,20,158,125,23
"02/2004",4055,644,781,218,3,23,221,1929,246,278,161,3,20,134,145,36
"03/2004",4449,752,812,249,1,20,254,2033,308,271,165,1,18,169,270,61
"04/2004",4683,710,866,274,4,25,238,2086,278,274,169,4,22,152,366,79
"05/2004",5152,819,894,312,5,35,273,2203,307,314,179,4,26,155,469,97
"06/2004",5145,793,957,323,1,21,273,2131,298,295,186,1,17,166,480,106
"07/2004",5294,819,887,373,2,18,266,2182,308,280,209,2,17,146,576,126
"08/2004",5419,787,974,376,2,23,293,2199,278,313,208,2,18,166,549,130
"09/2004",4910,784,836,304,4,17,268,2032,301,265,174,4,14,152,464,111
"10/2004",5231,826,921,327,1,22,323,2283,317,281,217,1,21,177,349,77
"11/2004",4849,799,903,261,1,24,289,2224,301,297,194,1,21,164,191,40
"12/2004",5037,827,943,274,2,32,287,2311,317,329,205,2,26,177,136,34
"01/2005",4298,711,784,231,2,28,244,1968,261,271,173,2,27,148,148,27
"02/2005",4011,651,757,223,2,10,212,1812,240,245,165,1,7,134,130,26
"03/2005",4411,680,769,249,3,23,249,1959,260,260,178,3,19,149,239,45
"04/2005",4914,758,824,312,6,34,253,2054,278,263,196,6,29,141,446,98
"05/2005",5019,752,911,332,5,19,275,2084,253,293,186,5,19,160,487,107
"06/2005",5186,819,871,340,2,27,323,2086,311,252,191,1,24,186,527,111
"07/2005",5683,885,959,363,3,28,303,2285,306,295,191,3,26,181,622,115
"08/2005",5282,789,911,350,3,19,285,2171,296,310,185,3,18,175,579,126
"09/2005",5081,706,914,344,2,31,270,2034,262,273,184,2,26,170,609,126
"10/2005",5504,888,995,329,2,32,296,2314,335,323,216,2,32,176,458,83
"11/2005",5212,839,935,313,4,41,296,2266,293,299,207,4,36,164,291,63
"12/2005",4894,787,950,258,5,30,296,2141,261,278,200,5,25,175,146,25
"01/2006",4411,703,788,238,2,22,265,1960,253,255,166,2,22,164,191,40
"02/2006",4047,672,701,221,1,32,264,1778,260,215,166,1,27,155,161,32
"03/2006",4612,730,793,277,3,26,258,1999,253,256,190,3,21,146,297,51
"04/2006",4658,693,763,328,5,21,261,1906,250,242,181,5,18,166,493,100
"05/2006",5117,716,851,359,4,23,282,2116,258,282,216,3,19,178,575,105
"06/2006",5120,747,835,332,5,21,292,1994,269,252,165,4,19,162,589,119
"07/2006",5236,790,866,358,2,25,309,2066,285,275,183,1,22,179,652,127
"08/2006",5153,724,854,350,4,43,283,2064,281,253,188,3,35,163,613,119
"09/2006",4956,727,810,360,3,26,264,1997,259,259,180,2,23,155,555,126
"10/2006",5235,803,931,321,8,22,325,2211,290,302,214,6,19,195,360,65
"11/2006",4793,756,857,264,3,30,309,2038,253,283,162,2,24,179,300,58
"12/2006",4756,752,851,259,3,32,301,2134,272,280,199,2,26,179,176,36
"01/2007",4060,663,715,244,1,13,278,1791,232,232,171,1,11,167,138,35
"02/2007",3968,639,688,208,8,23,233,1730,232,230,159,5,17,137,151,27
"03/2007",4746,724,819,301,6,22,266,1927,274,248,193,5,17,165,392,68
"04/2007",4614,619,824,326,4,25,295,1960,236,259,188,4,18,195,438,106
"05/2007",4899,722,793,339,1,26,241,1923,246,279,167,1,23,150,646,136
"06/2007",4961,729,794,339,2,30,289,1939,259,252,179,,24,169,626,118
"07/2007",5123,730,844,340,4,30,287,1933,246,249,160,4,25,171,686,139
"08/2007",5029,709,837,354,5,31,304,1909,212,267,179,2,27,169,660,138
"09/2007",4753,712,770,312,3,35,245,1808,263,234,155,3,31,161,635,114
"10/2007",4961,749,770,328,2,30,309,2022,282,233,188,2,27,201,489,96
"11/2007",4640,706,802,265,4,28,329,1981,239,255,175,4,25,181,268,51
"12/2007",4499,760,811,269,2,19,275,1940,262,260,181,1,16,156,176,38
"01/2008",3916,622,684,201,1,22,256,1786,236,232,151,1,18,159,148,24
"02/2008",3929,597,655,213,2,27,279,1714,237,222,154,2,22,172,193,34
"03/2008",3834,616,679,218,5,22,240,1661,217,237,135,5,17,139,294,44
"04/2008",4021,559,675,300,,19,241,1569,188,189,156,,17,151,501,106
"05/2008",4329,607,691,312,2,26,270,1679,224,232,134,2,24,157,613,119
"06/2008",4487,655,693,370,5,26,262,1682,221,212,162,4,23,159,698,154
"07/2008",4422,621,640,332,,31,229,1638,220,206,144,,29,129,717,142
"08/2008",4663,624,727,343,,39,279,1758,233,215,135,,33,166,745,157
"09/2008",4185,564,605,280,3,26,256,1562,184,186,129,2,24,146,574,105
"10/2008",4512,641,694,295,2,19,287,1871,243,224,160,2,17,179,483,97
"11/2008",4151,680,715,237,2,24,263,1781,245,200,162,1,17,174,278,45
"12/2008",4211,701,736,240,2,15,267,1780,260,213,166,2,14,173,165,28
"01/2009",3565,577,639,204,1,18,270,1528,212,201,145,1,15,156,144,20
"02/2009",3171,496,546,201,1,16,197,1397,176,185,136,1,14,126,209,38
"03/2009",3459,569,554,213,3,20,244,1418,203,163,134,3,15,150,273,43
"04/2009",3930,577,607,229,,24,278,1558,198,169,115,,18,178,465,79
"05/2009",4100,607,651,326,3,24,238,1616,207,211,165,3,20,137,582,111
"06/2009",4013,590,627,302,6,28,265,1541,207,186,155,5,22,160,551,102
"07/2009",4083,589,655,294,2,28,263,1470,192,187,159,2,19,150,592,100
"08/2009",4196,612,630,313,2,23,242,1617,218,191,162,1,18,150,581,98
"09/2009",3869,556,610,256,4,24,245,1538,217,189,130,4,17,150,511,91
"10/2009",3857,618,665,255,1,21,252,1615,213,206,157,1,19,139,308,60
"11/2009",3720,562,625,243,1,21,272,1593,193,210,145,1,19,171,283,54
"12/2009",3577,562,622,185,3,21,263,1523,193,177,124,3,18,167,103,25
"01/2010",3107,451,544,177,,15,218,1371,155,173,124,,9,146,125,16
"02/2010",2801,454,450,188,,20,203,1211,157,146,136,,13,121,110,18
"03/2010",3336,491,532,223,1,16,210,1434,166,167,140,1,14,149,265,49
"04/2010",3804,518,601,273,2,21,274,1542,187,189,127,1,14,167,468,105
"05/2010",3956,572,559,298,,20,265,1540,202,172,151,,11,164,551,95
"06/2010",3821,574,613,285,,33,237,1390,206,176,135,,27,149,587,107
"07/2010",4200,610,616,317,1,25,264,1525,207,168,139,1,16,146,619,114
"08/2010",4183,593,621,270,1,26,271,1522,201,177,131,1,22,167,629,95
"09/2010",4094,556,673,263,3,24,257,1529,196,176,124,2,17,158,526,87
"10/2010",4136,626,624,288,2,31,260,1655,208,189,177,2,25,165,442,69
"11/2010",3854,566,652,233,1,12,274,1578,197,183,147,,10,161,214,34
"12/2010",3570,567,617,218,1,33,253,1511,168,186,151,1,29,157,115,24
"01/2011",3076,474,517,213,1,32,222,1345,164,161,159,,29,134,153,31
"02/2011",2868,441,467,175,,19,215,1167,145,126,116,,15,126,182,34
"03/2011",3311,507,527,197,1,25,253,1341,176,162,117,1,20,142,267,45
"04/2011",3508,523,547,243,2,19,228,1433,195,166,133,1,16,143,408,72
"05/2011",3744,531,567,254,4,19,237,1415,203,165,132,3,13,148,533,92
"06/2011",3937,554,569,300,4,31,236,1446,193,163,137,3,24,134,603,114
"07/2011",4232,571,636,358,2,32,272,1591,214,184,165,2,24,166,652,138
"08/2011",4109,604,580,306,4,25,262,1469,220,161,132,3,17,160,640,128
"09/2011",3824,505,607,262,2,18,244,1458,193,195,144,1,16,145,507,75
"10/2011",4194,587,632,278,7,23,280,1694,207,174,148,3,22,167,444,82
"11/2011",3692,535,568,218,,30,305,1588,194,163,136,,26,196,235,45
"12/2011",3624,545,589,222,,34,286,1564,200,170,152,,28,169,144,25
"01/2012",3330,526,555,188,4,27,255,1454,183,160,131,3,20,166,174,22
"02/2012",3189,480,529,206,,20,230,1390,160,188,140,,15,139,161,34
"03/2012",3678,530,516,265,1,25,247,1461,176,177,143,1,20,149,439,81
"04/2012",3548,498,524,268,,25,214,1435,192,163,157,,18,120,451,82
"05/2012",3966,579,607,309,,30,242,1479,193,185,141,,20,149,579,111
"06/2012",4131,576,570,316,2,23,258,1500,179,158,137,2,20,159,664,107
"07/2012",4164,594,656,307,1,26,265,1548,199,191,149,1,18,160,603,104
"08/2012",4258,575,617,309,3,28,296,1578,209,172,161,2,22,168,623,100
"09/2012",4074,572,586,259,3,26,285,1563,206,190,126,2,18,161,575,86
"10/2012",3997,590,598,260,2,32,291,1608,223,183,151,1,24,174,395,57
"11/2012",3853,588,608,230,3,28,275,1624,218,154,151,2,21,170,276,40
"12/2012",3772,606,606,243,6,36,302,1633,225,171,168,4,28,187,168,27
"01/2013",3416,522,523,217,,16,267,1424,173,149,139,,10,158,163,35
"02/2013",2845,428,453,183,3,21,221,1177,135,120,124,2,15,130,135,24
"03/2013",3552,487,545,223,4,29,279,1488,186,167,140,3,18,183,301,44
"04/2013",3464,453,528,258,3,19,273,1399,172,163,134,2,16,163,397,72
"05/2013",3817,528,547,298,1,17,274,1445,192,164,141,1,13,170,504,104
"06/2013",4009,519,596,297,5,26,285,1481,187,183,157,4,22,170,573,85
"07/2013",3933,573,524,291,1,33,241,1453,191,152,123,1,26,137,583,108
"08/2013",4304,558,583,347,3,30,305,1607,210,160,162,2,18,187,695,139
"09/2013",4106,533,588,316,3,27,286,1587,196,175,153,3,21,185,612,109
"10/2013",4135,617,609,269,2,27,285,1622,225,165,158,1,24,180,433,67
"11/2013",3803,571,590,253,2,38,260,1651,212,179,165,2,30,179,265,41
"12/2013",3717,593,550,197,2,33,330,1624,232,169,123,2,26,203,137,26
"01/2014",3260,459,528,183,3,29,269,1362,160,143,112,2,21,170,164,26
"02/2014",2802,432,451,184,,25,236,1192,160,129,124,,19,145,145,25
"03/2014",3374,463,508,241,3,26,264,1379,165,142,144,2,20,169,279,46
"04/2014",3478,478,513,265,1,23,247,1395,175,158,141,,16,141,389,71
"05/2014",3891,533,494,263,2,22,261,1507,177,175,132,2,13,166,564,83
"06/2014",3887,532,541,300,4,33,276,1395,187,151,136,3,23,177,621,101
"07/2014",4011,560,550,309,1,27,282,1476,197,158,144,1,14,168,590,93
"08/2014",4175,599,596,323,4,30,262,1587,190,203,171,4,25,160,585,93
"09/2014",3897,537,523,294,3,29,301,1480,187,155,141,3,16,195,522,91
"10/2014",4242,551,637,290,4,35,344,1720,214,189,180,3,30,202,422,61
"11/2014",4044,583,620,282,4,30,292,1715,203,182,189,3,19,184,243,39
"12/2014",3889,575,624,275,2,28,338,1688,196,206,173,1,17,197,181,31
"01/2015",3584,559,560,243,2,33,291,1557,192,168,163,2,23,170,167,33
"02/2015",3057,431,481,205,5,33,249,1280,154,147,127,5,20,159,152,26
"03/2015",3721,580,568,247,2,38,257,1537,213,147,146,2,28,167,320,55
"04/2015",3741,512,526,265,1,32,264,1489,190,143,149,1,25,166,430,61
"05/2015",4333,610,619,320,2,30,299,1689,220,191,168,2,24,178,575,85
"06/2015",4260,563,591,321,2,45,327,1639,223,170,164,2,34,204,585,99
"07/2015",4628,641,598,350,2,41,346,1714,232,158,161,2,25,211,666,117
"08/2015",4630,624,639,349,4,42,342,1728,222,195,170,4,29,182,647,113
"09/2015",4380,566,651,317,6,39,290,1715,213,183,165,6,32,194,560,93
"10/2015",4610,620,644,331,3,35,375,1849,245,195,176,3,21,231,493,74
"11/2015",4212,581,634,267,3,27,378,1775,206,199,162,2,19,218,269,52
"12/2015",4322,664,639,304,5,36,357,1846,244,218,186,4,28,210,266,47
"01/2016",3483,501,516,231,5,42,285,1521,167,176,149,4,30,162,160,24
"02/2016",3668,524,532,271,1,30,294,1587,202,174,180,1,23,177,243,43
"03/2016",4065,569,557,318,5,31,345,1709,218,191,186,4,18,211,346,60
"04/2016",4172,564,591,309,3,21,321,1649,186,170,157,2,13,195,472,77
"05/2016",4580,633,606,345,4,35,340,1750,232,163,178,3,25,199,634,102
"06/2016",4721,637,652,379,5,32,358,1809,230,182,202,2,22,207,617,102
"07/2016",4583,627,614,331,2,32,340,1711,226,173,181,2,20,207,653,81
"08/2016",4794,661,656,364,,37,368,1812,236,185,186,,24,218,635,104
"09/2016",4758,613,648,327,4,39,366,1773,212,178,159,3,28,210,630,103
"10/2016",4933,651,696,339,3,36,407,1978,241,208,189,1,24,241,537,77
"11/2016",4570,608,668,367,3,56,365,1927,211,198,226,1,46,218,344,54
"12/2016",4387,621,656,313,,35,391,1853,215,182,190,,19,239,193,34
"01/2017",3988,580,564,264,1,25,355,1734,200,174,176,,14,220,195,25
"02/2017",3487,543,454,251,2,41,276,1467,191,150,166,,32,172,271,30
"03/2017",4183,566,611,281,5,52,324,1791,224,181,168,4,37,198,328,43
"04/2017",4257,554,582,298,2,35,349,1718,195,213,158,2,25,219,517,78
"05/2017",4523,622,590,357,1,32,373,1764,206,164,195,,24,225,537,88
"06/2017",4752,630,667,369,1,48,367,1804,234,188,186,1,34,218,643,109
"07/2017",4980,663,683,387,5,31,338,1819,231,197,198,5,21,200,724,103
"08/2017",4515,584,624,336,3,45,357,1744,219,194,152,2,31,220,586,104
"09/2017",4874,589,625,382,6,35,410,1875,213,192,193,4,22,267,652,120
"10/2017",4726,604,677,326,4,33,394,1809,214,190,180,3,21,232,438,63
"11/2017",4441,597,680,299,2,47,428,1883,227,219,183,1,31,239,283,34
"12/2017",4402,632,675,306,4,46,371,1873,232,198,177,2,36,211,211,37
"01/2018",4056,578,599,298,2,37,370,1749,228,190,188,1,25,214,202,35
"02/2018",3547,467,479,256,,30,317,1446,164,133,164,,21,186,217,31
"03/2018",4084,604,607,280,3,35,337,1675,217,185,162,1,28,200,287,50
"04/2018",3985,536,568,289,2,29,340,1644,189,186,182,2,15,215,387,50
"05/2018",4598,567,608,332,3,40,370,1746,216,170,182,2,27,217,583,79
"06/2018",4648,581,612,345,4,44,372,1669,197,179,158,3,28,213,687,96
"07/2018",4610,615,626,328,3,53,356,1688,211,190,164,1,36,218,637,80
"08/2018",4648,580,612,353,4,39,328,1693,206,169,174,3,23,196,659,101
"09/2018",4600,635,632,342,1,36,363,1778,242,195,181,,22,204,572,77
"10/2018",4825,652,725,313,5,53,394,1846,227,218,181,4,31,222,450,57
"11/2018",4164,574,595,278,2,32,402,1692,203,187,176,,21,237,240,44
"12/2018",4107,566,571,291,2,43,355,1717,211,171,173,2,24,196,193,32
"01/2019",3875,550,558,259,2,49,347,1596,179,153,163,1,30,203,147,20
"02/2019",3344,450,488,250,2,53,287,1391,166,158,137,2,31,174,179,37
"03/2019",3959,549,541,292,7,40,329,1623,211,170,169,3,28,186,340,45
"04/2019",4072,549,512,279,3,42,334,1538,187,154,149,,15,185,421,54
"05/2019",4487,581,601,331,1,41,380,1649,197,166,156,1,23,230,593,91
"06/2019",4535,611,567,327,6,44,387,1622,209,156,154,5,29,210,652,98
"07/2019",4592,562,619,335,2,45,389,1628,182,182,148,1,26,231,666,114
"08/2019",4699,625,590,377,1,50,372,1700,216,145,172,,26,220,677,120
"09/2019",4674,603,631,350,3,55,330,1645,206,163,177,2,38,181,619,86
"10/2019",4560,597,662,351,2,43,415,1767,194,195,204,1,27,243,397,61
"11/2019",4339,611,620,299,3,48,395,1731,198,190,167,3,31,219,247,38
"12/2019",4111,594,591,255,2,56,367,1696,169,171,155,2,34,216,176,31
"01/2020",3760,528,541,239,5,39,364,1539,183,165,147,3,25,217,165,22
"02/2020",3747,502,515,295,,46,339,1596,177,165,193,,25,196,212,35
"03/2020",3548,477,463,283,2,35,295,1441,185,131,151,,24,187,326,49
"04/2020",3077,407,383,253,5,29,245,1198,127,122,146,4,21,143,365,55
